0.00, 0.08, 0.03, 0.03, 0.05, 0.06, 0.05, 0.70, 0.67, 0.71, 1.68, 1.72, 1.71, 1.71, 1.75, 1.78, 1.79, 0.06, 0.80, 1.68, 1.66
0.08, 0.00, 0.10, 0.07, 0.10, 0.10, 0.05, 0.74, 0.71, 0.76, 1.74, 1.77, 1.76, 1.77, 1.80, 1.83, 1.85, 0.09, 0.84, 1.74, 1.73
0.03, 0.10, 0.00, 0.03, 0.02, 0.04, 0.05, 0.67, 0.64, 0.69, 1.69, 1.73, 1.72, 1.73, 1.76, 1.79, 1.80, 0.09, 0.77, 1.68, 1.67
0.03, 0.07, 0.03, 0.00, 0.03, 0.04, 0.03, 0.69, 0.66, 0.66, 1.71, 1.74, 1.74, 1.74, 1.78, 1.81, 1.82, 0.08, 0.79, 1.70, 1.69
0.05, 0.10, 0.02, 0.03, 0.00, 0.02, 0.05, 0.66, 0.63, 0.67, 1.71, 1.74, 1.74, 1.74, 1.78, 1.81, 1.82, 0.11, 0.76, 1.70, 1.68
0.06, 0.10, 0.04, 0.04, 0.02, 0.00, 0.05, 0.65, 0.62, 0.66, 1.71, 1.76, 1.75, 1.76, 1.79, 1.82, 1.84, 0.12, 0.75, 1.71, 1.70
0.05, 0.05, 0.05, 0.03, 0.05, 0.05, 0.00, 0.69, 0.66, 0.71, 1.73, 1.77, 1.76, 1.77, 1.80, 1.83, 1.85, 0.10, 0.79, 1.73, 1.72
0.70, 0.74, 0.67, 0.69, 0.66, 0.65, 0.69, 0.00, 0.03, 0.04, 2.03, 2.06, 2.06, 2.07, 2.10, 2.12, 2.14, 0.76, 1.91, 1.88, 1.88
0.67, 0.71, 0.64, 0.66, 0.63, 0.62, 0.66, 0.03, 0.00, 0.06, 2.02, 2.05, 2.05, 2.06, 2.09, 2.11, 2.13, 0.73, 0.13, 1.90, 1.88
0.71, 0.76, 0.69, 0.66, 0.67, 0.66, 0.71, 0.04, 0.06, 0.00, 2.01, 2.04, 2.04, 2.04, 2.08, 2.10, 2.12, 0.77, 0.12, 1.88, 1.85
1.68, 1.74, 1.69, 1.71, 1.71, 1.71, 1.73, 2.03, 2.02, 2.01, 0.00, 0.04, 0.04, 0.04, 0.07, 0.10, 0.11, 1.64, 2.12, 0.34, 0.37
1.72, 1.77, 1.73, 1.74, 1.74, 1.76, 1.77, 2.06, 2.05, 2.04, 0.04, 0.00, 0.04, 0.02, 0.04, 0.06, 0.08, 1.68, 2.15, 0.34, 0.38
1.71, 1.76, 1.72, 1.74, 1.74, 1.75, 1.76, 2.06, 2.05, 2.04, 0.04, 0.04, 0.00, 0.02, 0.04, 0.07, 0.09, 1.67, 2.16, 0.38, 0.41
1.71, 1.77, 1.73, 1.74, 1.74, 1.76, 1.77, 2.07, 2.06, 2.04, 0.04, 0.02, 0.02, 0.00, 0.03, 0.06, 0.08, 1.68, 2.16, 0.36, 0.40
1.75, 1.80, 1.76, 1.78, 1.78, 1.79, 1.80, 2.10, 2.09, 2.08, 0.07, 0.04, 0.04, 0.03, 0.00, 0.03, 0.05, 1.71, 2.23, 0.38, 0.41
1.78, 1.83, 1.79, 1.81, 1.82, 1.82, 1.83, 2.12, 2.11, 2.10, 0.10, 0.06, 0.07, 0.06, 0.03, 0.00, 0.02, 1.76, 2.23, 0.38, 0.42
1.79, 1.85, 1.80, 1.82, 1.82, 1.84, 1.85, 2.14, 2.13, 2.12, 0.11, 0.08, 0.09, 0.08, 0.05, 0.02, 0.00, 1.76, 2.23, 0.38, 0.42
0.06, 0.09, 0.09, 0.08, 0.11, 0.12, 0.10, 0.76, 0.73, 0.77, 1.64, 1.68, 1.67, 1.68, 1.71, 1.75, 1.76, 0.00, 0.86, 1.65, 1.64
0.80, 0.84, 0.77, 0.79, 0.76, 0.75, 0.79, 1.91, 0.13, 0.12, 2.12, 2.15, 2.16, 2.16, 2.19, 2.23, 2.23, 0.86, 0.00, 0.03, 1.97
1.68, 1.74, 1.68, 1.70, 1.70, 1.71, 1.73, 1.88, 1.90, 1.88, 0.34, 0.34, 0.38, 0.36, 0.38, 0.38, 0.38, 1.65, 0.03, 0.00, 0.03
1.66, 1.73, 1.67, 1.69, 1.68, 1.70, 1.72, 1.88, 1.88, 1.85, 0.37, 0.38, 0.41, 0.40, 0.41, 0.42, 0.42, 1.64, 1.97, 0.03, 0.00
